index,p_id,interval_id,percNeg,percZero,percPos,avg_rating,total_presses,rating_variance,rating_range,press_intensity,emotion_transitions,context_influence,post_ride_rating,flow,safety,warning_value,safety_predisposition_numeric,nervousness_predisposition_numeric,arousaldisposition_numeric,pleasantnessdisposition_numeric,flowdisposition_numeric
31,910,3.0,16.666666666666664,33.33333333333333,50.0,0.333,7.0,0.9047619047619048,2.0,0.9511897312113418,4.0,2.75,77.40506329113924,99.0,99.0,3.6,5.0,1.0,3.0,2.25,2.0
32,927,1.0,33.33333333333333,6.666666666666667,60.0,0.267,8.0,0.5535714285714286,2.0,0.7440238091428449,3.0,2.714,75.0,77.0,75.0,1.1818,5.0,1.0,3.0,3.0,2.0
33,927,2.0,28.57142857142857,14.285714285714285,57.14285714285714,0.286,12.0,0.2424242424242424,1.0,0.4923659639173309,7.0,2.0,81.0,100.0,75.0,0.4,5.0,1.0,3.0,3.0,2.0
34,927,3.0,12.5,12.5,75.0,0.625,19.0,0.5087719298245613,2.0,0.7132825035177586,12.0,1.875,82.0,100.0,100.0,0.9,5.0,1.0,3.0,3.0,2.0
35,696,1.0,0.0,33.33333333333333,66.66666666666666,0.667,14.0,0.532967032967033,2.0,0.7300459115473718,9.0,2.286,83.0,62.0,73.0,2.5454,3.0,2.0,2.0,3.0,2.0
36,696,2.0,15.789473684210526,47.368421052631575,36.84210526315789,0.211,5.0,1.0,2.0,1.0,3.0,2.25,79.0,70.0,65.0,1.6,3.0,2.0,2.0,3.0,2.0
37,696,3.0,21.428571428571427,50.0,28.57142857142857,0.071,7.0,1.1428571428571428,2.0,1.0690449676496976,4.0,2.0,61.0,62.0,68.0,1.1,3.0,2.0,2.0,3.0,2.0
39,904,2.0,42.85714285714285,0.0,57.14285714285714,0.143,11.0,0.4727272727272726,2.0,0.6875516509523286,6.0,3.125,79.0,75.0,75.0,3.4,4.0,1.0,1.0,1.0,1.0
40,904,3.0,28.57142857142857,14.285714285714285,57.14285714285714,0.286,13.0,0.9743589743589745,2.0,0.9870962335856492,7.0,3.375,65.0,75.0,75.0,3.9,4.0,1.0,1.0,1.0,1.0
41,691,1.0,9.090909090909092,36.36363636363637,54.54545454545454,0.455,16.0,0.5166666666666667,2.0,0.7187952884282609,6.0,2.857,76.0,57.0,86.0,2.6363,5.0,1.0,1.25,3.0,3.0
42,691,2.0,38.46153846153847,7.6923076923076925,53.84615384615385,0.154,6.0,0.8,2.0,0.8944271909999159,4.0,2.75,75.0,54.0,72.0,1.4,5.0,1.0,1.5,3.0,3.0
43,691,3.0,12.5,12.5,75.0,0.625,7.0,0.2380952380952381,1.0,0.4879500364742666,3.0,2.75,67.0,73.0,82.0,1.7,5.0,1.0,1.75,3.0,3.0
45,888,2.0,0.0,28.57142857142857,71.42857142857143,0.714,5.0,0.8000000000000003,2.0,0.8944271909999161,1.0,3.25,70.0,75.0,75.0,1.5,5.0,1.0,2.0,2.0,2.0
46,888,3.0,0.0,50.0,50.0,0.5,2.0,0.0,0.0,0.0,0.0,3.0,81.0,75.0,100.0,2.8,5.0,1.0,2.0,2.0,2.0
47,388,1.0,20.0,0.0,80.0,0.6,1.0,0.0,0.0,0.0,0.0,2.429,70.0,75.0,75.0,2.6363,3.0,1.0,2.0,2.0,3.0
48,388,2.0,0.0,0.0,100.0,1.0,10.0,0.0,0.0,0.0,0.0,2.75,78.0,75.0,87.5,2.9,3.0,1.0,2.0,2.0,3.0
49,388,3.0,100.0,0.0,0.0,-1.0,8.0,0.0,0.0,0.0,0.0,2.625,89.0,75.0,100.0,2.8,3.0,1.0,2.0,2.0,3.0
50,434,1.0,0.0,0.0,100.0,1.0,12.0,0.0,0.0,0.0,0.0,3.0,74.0,73.0,100.0,2.5454,4.0,1.0,1.0,2.0,1.0
